utt,intent,partition
set a warning for when my bank account starts running low,oos,oos_val
a show on broadway,oos,oos_val
who has the best record in the nfl,oos,oos_val
how do i find the area of a circle,oos,oos_val
how many onions do i have on hand,oos,oos_val
what is the name of the 13th president,oos,oos_val
show me recent activity in my backyard,oos,oos_val
how long will it take me to pay off my card if i pay an extra $50 a month over the minimum,oos,oos_val
does our bank have free notary,oos,oos_val
what were the top stories this week,oos,oos_val
can i mix antifreeze with water,oos,oos_val
are any earning reports due,oos,oos_val
show me the channel guide,oos,oos_val
is the pnc bank open,oos,oos_val
where does the power steering fluid go,oos,oos_val
when was the last time the president visited floridau,oos,oos_val
how can i keep my windshield from fogging up in winter,oos,oos_val
how do i compute the median of a set of numbers,oos,oos_val
what is happening with brexit right nowu,oos,oos_val
are there any new companies to look out for,oos,oos_val
can you tell me how to compute price per ounce,oos,oos_val
how to unclog a drain,oos,oos_val
am kind of busy now,oos,oos_val
what new reality shows are there for 2019,oos,oos_val
what is the purpose or benefit of a cash advance,oos,oos_val
how can i root an android phone,oos,oos_val
is android better than iphone,oos,oos_val
are androids expensive,oos,oos_val
how long does it take to become an architect,oos,oos_val
who are some famous living architects,oos,oos_val
find out for me as to why people get autism,oos,oos_val
is autism a genetic disease,oos,oos_val
is flu contagious,oos,oos_val
is it true that nicotine is harder to kick than heroin,oos,oos_val
please inform me on bad habits and overcoming them,oos,oos_val
are bad habits closely related with addictions,oos,oos_val
does hypnosis work to break bad habits,oos,oos_val
king of acid,oos,oos_val
suo2,oos,oos_val
what university in the united states offers the best biomedical engineering program,oos,oos_val
whats the definition of nuclear engineering,oos,oos_val
when was electrical engineering created,oos,oos_val
what is naval engineering,oos,oos_val
is it possible to survive in a black hole,oos,oos_val
where do black holes come from,oos,oos_val
what are black holes,oos,oos_val
what was the final vote count in the brexit referendum,oos,oos_val
can you tell me the latest georgia news,oos,oos_val
is the brexit finalized yet,oos,oos_val
the birds fly with there wings,oos,oos_val
how the birds fly,oos,oos_val
where does cannabis originate from,oos,oos_val
how are my cannabis stocks doing,oos,oos_val
is marijuana addictive,oos,oos_val
should i hit or stay at 17 in blackjack,oos,oos_val
what game has the best odds at a casino,oos,oos_val
whats the best opening gambit for a game of chess,oos,oos_val
what side in chess has the general advantage,oos,oos_val
how do i get better at go,oos,oos_val
how high does my sat score need to be to get into harvard,oos,oos_val
whatll an education at boulder state college run,oos,oos_val
whats the average gpa to get into yale,oos,oos_val
what act score is considered good,oos,oos_val
what cryptocurrency gained the most in 2018,oos,oos_val
whats the best crypto to buy in 2019,oos,oos_val
how is crypto legal,oos,oos_val
are there any cybersecurity jobs available in pittsburgh,oos,oos_val
how many firewalls should i have and what type,oos,oos_val
how can i breach a network,oos,oos_val
how does cybersecurity work,oos,oos_val
how many countries in the world are democracies,oos,oos_val
is the united states a democracy,oos,oos_val
which nations are not democratic,oos,oos_val
how does a democracy work,oos,oos_val
please get me my wheelchair,oos,oos_val
whats the best dog food to feed my puppy,oos,oos_val
how do you know when your dog is ill,oos,oos_val
what dog breed sold the most in 2018,oos,oos_val
how much food should i feed my cat,oos,oos_val
what does it mean if i dream of falling off a building,oos,oos_val
is it bad to not remember your dreams,oos,oos_val
why do we dream,oos,oos_val
do ducks eat meat vegetables or both,oos,oos_val
what is the friendliest breed,oos,oos_val
what do geese eat,oos,oos_val
do ducks sleep,oos,oos_val
are over the ear headphones better than in ear headphones,oos,oos_val
what brand of earphones is the best reviewed of 2019,oos,oos_val
are white and brown eggs any different,oos,oos_val
where do eggs come from,oos,oos_val
how can i easily replace a string on my guitar,oos,oos_val
how do you learn how to play electric violin,oos,oos_val
can you give me the standard tuning notes,oos,oos_val
what is the cheapest electric guitar,oos,oos_val
you want to know about current time now,oos,oos_val
what does it mean to have equality,oos,oos_val
what site publishes the most fake news,oos,oos_val
can you tell me some fake news,oos,oos_val
is cnn really fake news,oos,oos_val
why is there fake news,oos,oos_val
in spanish meet me tomorrow is said how,translate,val
in french how do i say see you later,translate,val
how do you say hello in japanese,translate,val
how do i ask about the weather in chinese,translate,val
"how can i say ""cancel my order"" in french",translate,val
how do i say dinner in spanish,translate,val
how do you say good bye in french,translate,val
how do i say thank you in spanish,translate,val
how do i say good bye in chinese,translate,val
how can i say thank you very much in chinese,translate,val
i need to know how to say hello in france,translate,val
would you tell me how to say goodbye in france,translate,val
how do you say hello in mexico,translate,val
tell me how to say hello in chile,translate,val
i want to know how to say goodbye in france,translate,val
would you translate a sentence into russian for me please,translate,val
would you translate a phrase into mandarin for me,translate,val
can you translate this name into spanish for me please,translate,val
could you translate this into chinese for me please,translate,val
could you translate water into dutch for me,translate,val
transfer ten dollars from my wells fargo account to my bank of america account,transfer,val
take one hundred and fifty bucks from my wells fargo checking account and put it in my wells fargo savings account,transfer,val
put one hundred and seventy five bucks in my wells fargo checking account from my citibank savings account,transfer,val
move two hundred dollars to my chase savings account to my wells fargo checking account,transfer,val
move three hundred and fifty dollars from my citibank savings account to my chase savings account,transfer,val
move a dollar from my checkings to my savings,transfer,val
move my money to the other account,transfer,val
transfer funds to the other account,transfer,val
please transfer half of my funds to an alternate account,transfer,val
can you move my money to my savings,transfer,val
make an eft to my savings from my checking account,transfer,val
send 100 dollars from my vanguard money market to my wells fargo savings,transfer,val
i need 200 dollars transferred from my long island savings account to my chase checking,transfer,val
send from my bbc money market to my t rowe price money market seven thousand dollars,transfer,val
i need 2000 to go to my chase checking from my mellon bank savings account,transfer,val
move 100 dollars from my savings to my checking,transfer,val
transfer 1000 dollars from my first national bank to my bethpage federal credit union savings,transfer,val
take out of my checking 400 dollars and put it into my emergency savings account,transfer,val
i need to transfer one thousand dollars to my savings account from my checking,transfer,val
transfer 50 dollars from my checking account to my money market account,transfer,val
create a new timer,timer,val
id like to set a new timer,timer,val
help me set a timer please,timer,val
10 minutes is what the timer should be set at,timer,val
the timer should have 10 minutes set to it,timer,val
10 minutes is the setting for the timer,timer,val
