id,utt,intent,partition
0,set a warning for when my bank account starts running low,oos,oos_val
1,a show on broadway,oos,oos_val
2,who has the best record in the nfl,oos,oos_val
3,how do i find the area of a circle,oos,oos_val
4,how many onions do i have on hand,oos,oos_val
5,what is the name of the 13th president,oos,oos_val
6,show me recent activity in my backyard,oos,oos_val
7,how long will it take me to pay off my card if i pay an extra $50 a month over the minimum,oos,oos_val
8,does our bank have free notary,oos,oos_val
9,what were the top stories this week,oos,oos_val
10,can i mix antifreeze with water,oos,oos_val
11,are any earning reports due,oos,oos_val
12,show me the channel guide,oos,oos_val
13,is the pnc bank open,oos,oos_val
14,where does the power steering fluid go,oos,oos_val
15,when was the last time the president visited floridau,oos,oos_val
16,how can i keep my windshield from fogging up in winter,oos,oos_val
17,how do i compute the median of a set of numbers,oos,oos_val
18,what is happening with brexit right nowu,oos,oos_val
19,are there any new companies to look out for,oos,oos_val
20,can you tell me how to compute price per ounce,oos,oos_val
21,how to unclog a drain,oos,oos_val
22,am kind of busy now,oos,oos_val
23,what new reality shows are there for 2019,oos,oos_val
24,what is the purpose or benefit of a cash advance,oos,oos_val
25,how can i root an android phone,oos,oos_val
26,is android better than iphone,oos,oos_val
27,are androids expensive,oos,oos_val
28,how long does it take to become an architect,oos,oos_val
29,who are some famous living architects,oos,oos_val
30,find out for me as to why people get autism,oos,oos_val
31,is autism a genetic disease,oos,oos_val
32,is flu contagious,oos,oos_val
33,is it true that nicotine is harder to kick than heroin,oos,oos_val
34,please inform me on bad habits and overcoming them,oos,oos_val
35,are bad habits closely related with addictions,oos,oos_val
36,does hypnosis work to break bad habits,oos,oos_val
37,king of acid,oos,oos_val
38,suo2,oos,oos_val
39,what university in the united states offers the best biomedical engineering program,oos,oos_val
40,what's the definition of nuclear engineering,oos,oos_val
41,when was electrical engineering created,oos,oos_val
42,what is naval engineering,oos,oos_val
43,is it possible to survive in a black hole,oos,oos_val
44,where do black holes come from,oos,oos_val
45,what are black holes,oos,oos_val
46,what was the final vote count in the brexit referendum,oos,oos_val
47,can you tell me the latest georgia news,oos,oos_val
48,is the brexit finalized yet,oos,oos_val
49,the birds fly with there wings,oos,oos_val
50,how the birds fly,oos,oos_val
51,where does cannabis originate from,oos,oos_val
52,how are my cannabis stocks doing,oos,oos_val
53,is marijuana addictive,oos,oos_val
54,should i hit or stay at 17 in blackjack,oos,oos_val
55,what game has the best odds at a casino,oos,oos_val
56,what's the best opening gambit for a game of chess,oos,oos_val
57,what side in chess has the general advantage,oos,oos_val
58,how do i get better at go,oos,oos_val
59,how high does my sat score need to be to get into harvard,oos,oos_val
60,what'll an education at boulder state college run,oos,oos_val
61,what's the average gpa to get into yale,oos,oos_val
62,what act score is considered good,oos,oos_val
63,what cryptocurrency gained the most in 2018,oos,oos_val
64,what's the best crypto to buy in 2019,oos,oos_val
65,how is crypto legal,oos,oos_val
66,are there any cybersecurity jobs available in pittsburgh,oos,oos_val
67,how many firewalls should i have and what type,oos,oos_val
68,how can i breach a network,oos,oos_val
69,how does cybersecurity work,oos,oos_val
70,how many countries in the world are democracies,oos,oos_val
71,is the united states a democracy,oos,oos_val
72,which nations are not democratic,oos,oos_val
73,how does a democracy work,oos,oos_val
74,please get me my wheelchair,oos,oos_val
75,what's the best dog food to feed my puppy,oos,oos_val
76,how do you know when your dog is ill,oos,oos_val
77,what dog breed sold the most in 2018,oos,oos_val
78,how much food should i feed my cat,oos,oos_val
79,what does it mean if i dream of falling off a building,oos,oos_val
80,is it bad to not remember your dreams,oos,oos_val
81,why do we dream,oos,oos_val
82,"do ducks eat meat, vegetables, or both",oos,oos_val
83,what is the friendliest breed,oos,oos_val
84,what do geese eat,oos,oos_val
85,do ducks sleep,oos,oos_val
86,are over the ear headphones better than in ear headphones,oos,oos_val
87,what brand of earphones is the best reviewed of 2019,oos,oos_val
88,are white and brown eggs any different,oos,oos_val
89,where do eggs come from,oos,oos_val
90,how can i easily replace a string on my guitar,oos,oos_val
91,how do you learn how to play electric violin,oos,oos_val
92,can you give me the standard tuning notes,oos,oos_val
93,what is the cheapest electric guitar,oos,oos_val
94,you want to know about current time now,oos,oos_val
95,what does it mean to have equality,oos,oos_val
96,what site publishes the most fake news,oos,oos_val
97,can you tell me some fake news,oos,oos_val
98,is cnn really fake news,oos,oos_val
99,why is there fake news,oos,oos_val
100,"in spanish, meet me tomorrow is said how",translate,val
101,"in french, how do i say, see you later",translate,val
102,how do you say hello in japanese,translate,val
103,how do i ask about the weather in chinese,translate,val
104,"how can i say ""cancel my order"" in french",translate,val
105,how do i say dinner in spanish,translate,val
106,how do you say good bye in french,translate,val
107,how do i say thank you in spanish,translate,val
108,how do i say good bye in chinese,translate,val
109,how can i say thank you very much in chinese,translate,val
110,i need to know how to say hello in france,translate,val
111,would you tell me how to say goodbye in france,translate,val
112,how do you say hello in mexico,translate,val
113,tell me how to say hello in chile,translate,val
114,i want to know how to say goodbye in france,translate,val
115,"would you translate a sentence into russian for me, please",translate,val
116,would you translate a phrase into mandarin for me,translate,val
117,"can you translate this name into spanish for me, please",translate,val
118,"could you translate this into chinese for me, please",translate,val
119,could you translate water into dutch for me,translate,val
120,transfer ten dollars from my wells fargo account to my bank of america account,transfer,val
121,take one hundred and fifty bucks from my wells fargo checking account and put it in my wells fargo savings account,transfer,val
122,put one hundred and seventy five bucks in my wells fargo checking account from my citibank savings account,transfer,val
123,move two hundred dollars to my chase savings account to my wells fargo checking account,transfer,val
124,move three hundred and fifty dollars from my citibank savings account to my chase savings account,transfer,val
125,move a dollar from my checkings to my savings,transfer,val
126,move my money to the other account,transfer,val
127,transfer funds to the other account,transfer,val
128,please transfer half of my funds to an alternate account,transfer,val
129,can you move my money to my savings,transfer,val
130,make an eft to my savings from my checking account,transfer,val
131,send 100 dollars from my vanguard money market to my wells fargo savings,transfer,val
132,i need 200 dollars transferred from my long island savings account to my chase checking,transfer,val
133,send from my bbc money market to my t rowe price money market seven thousand dollars,transfer,val
134,i need 2000 to go to my chase checking from my mellon bank savings account,transfer,val
135,move 100 dollars from my savings to my checking,transfer,val
136,transfer 1000 dollars from my first national bank to my bethpage federal credit union savings,transfer,val
137,take out of my checking 400 dollars and put it into my emergency savings account,transfer,val
138,i need to transfer one thousand dollars to my savings account from my checking,transfer,val
139,transfer 50 dollars from my checking account to my money market account,transfer,val
140,create a new timer,timer,val
141,i'd like to set a new timer,timer,val
142,help me set a timer please,timer,val
143,10 minutes is what the timer should be set at,timer,val
144,the timer should have 10 minutes set to it,timer,val
145,10 minutes is the setting for the timer,timer,val
146,the timer is calculated for 10 minutes,timer,val
147,set the timer for 10 minutes,timer,val
148,can you set a 30 second timer,timer,val
149,please set a timer to go off in 45 minutes,timer,val
150,i need you to create a timer,timer,val
151,i need a timer set please,timer,val
152,create a timer that is set to go off after 25 mins,timer,val
153,i need a timer that is set at 1 hour exactly,timer,val
154,could you set up a timer for me,timer,val
155,will you start a timer for me,timer,val
156,set up a 52 minute timer,timer,val
157,please set up a timer for me,timer,val
158,set 60 minutes for oven please,timer,val
159,please make the timer for cooking for for 2 hours,timer,val
160,may i please have a definition for the work churlish,definition,val
161,i want to know what trenchant means,definition,val
162,what is the meaning of fascism,definition,val
163,can you tell me what a septuagenarian is,definition,val
164,can you define the word schadenfreude,definition,val
165,what does unsavory mean,definition,val
166,please define erection for me,definition,val
167,what does idiosyncratic mean,definition,val
168,tell me the meaning of condemnation,definition,val
169,define monetary for me please,definition,val
170,tell me the meaning of hegemony,definition,val
171,what does indignation mean,definition,val
172,define ambivalence for me please,definition,val
173,please define institutional racism,definition,val
174,define antagonist for me please,definition,val
175,what does distinguish mean,definition,val
176,what is the meaning of word alliance,definition,val
177,i need to know what dominate means,definition,val
178,what is the definition of the word migrate,definition,val
179,tell me please what paean means,definition,val
180,i want to know what the purpose of life is,meaning_of_life,val
181,i want to hear what you think life's purpose is about,meaning_of_life,val
182,what do you think the purpose of life is,meaning_of_life,val
183,what is the purpose of existence,meaning_of_life,val
184,what do you think our purpose is in life,meaning_of_life,val
185,i'd like to know the meaning of life,meaning_of_life,val
186,what's your opinion on the meaning of life,meaning_of_life,val
187,what is life's purpose,meaning_of_life,val
188,tell me all about the meaning of life,meaning_of_life,val
189,tell me your thoughts about the meaning of life,meaning_of_life,val
190,do you have any ideas on the meaning of life,meaning_of_life,val
191,do you know the deeper meaning of life,meaning_of_life,val
192,tell me the meaning of life,meaning_of_life,val
193,"can you tell me, what is the meaning of life",meaning_of_life,val
194,"what is the meaning behind life, do you think",meaning_of_life,val
195,what is our purpose,meaning_of_life,val
196,what do you think we are on earth for,meaning_of_life,val
197,what do you think life is really about,meaning_of_life,val
198,do you think we have a higher calling,meaning_of_life,val
199,why are humans on earth,meaning_of_life,val
200,explain how do i get new insurance,insurance_change,val
201,tell me how to get new insurance,insurance_change,val
202,explain to me how do i get new insurance,insurance_change,val
203,i want to get new insurance,insurance_change,val
204,can you tell me how do i get new insurance,insurance_change,val
205,i'd like to know how changes are made to my insurance policy,insurance_change,val
206,how can i make changes for my insurance policy,insurance_change,val
207,can you tell me how changes on my insurance policy can be made,insurance_change,val
208,i'd like to know how to make changes for my insurance policy,insurance_change,val
209,could you tell me how to make changes to my insurance policy,insurance_change,val
210,tell me how to change my policy,insurance_change,val
211,i need to switch insurance plans,insurance_change,val
212,can you help me switch insurance plans,insurance_change,val
213,tell me how to make changes to my insurance policy,insurance_change,val
214,how do i switch to a new insurance plan,insurance_change,val
215,can you help me switch to a new insurance plan,insurance_change,val
216,how can i change information on my insurance policy,insurance_change,val
217,how do i make changes to my insurance policy,insurance_change,val
218,tell me how to change my insurance policy,insurance_change,val
219,"i need to change my insurance policy, how",insurance_change,val
220,please help me in finding my phone,find_phone,val
221,please help me find my lost phone,find_phone,val
222,i need your help finding my lost phone,find_phone,val
223,help me find my phone please,find_phone,val
224,tell me where i left my phone,find_phone,val
225,what did i do with my phone,find_phone,val
226,can you tell me where my phone is,find_phone,val
